ipc_section,bns_section,notes
494,82(1),Marrying again during lifetime of husband or wife
495,82(2),Same offence with concealment of former marriage from person with whom subsequent marriage is contracted
496,83,Marriage ceremony fraudulently gone through without lawful marriage
497,Repealed in BNS,Adultery
498,84,Enticing or taking away or detaining with criminal intent a married woman
498A,85,Husband or relative of husband of a woman subjecting her to cruelty
499,356(1),Defamation
500,356(2),Punishment for defamation
501,356(2),Printing or engraving matter known to be defamatory
502,356(2),Sale of printed or engraved substance containing defamatory matter
503,351(1),Criminal intimidation
504,352,Intentional insult with intent to provoke breach of the peace
505,353,Statements conducing to public mischief
506,351(2) & (3),Punishment for criminal intimidation
507,351(4),Criminal intimidation by an anonymous communication
508,354,Act caused by inducing person to believe that he will be rendered an object of the Divine displeasure
509,79,"Word, gesture or act intended to insult the modesty of a woman"
510,355,Misconduct in public by a drunken person
511,62,Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment
